sample_id,pcr_ct,method
"V340466019,V340465964,V340466157,V340466141",27.1,capture
"V340466170,V340465984,V340466908,V340465979",27.2,capture
"V340466624,V340466518,V340465924,V340466239",27.7,capture
"V340466422,V340466265,V340466613,V340466376",27.9,capture
"V340465962,V340466830,V340466689,V340466453",28.4,capture
"V340466519,V340466447,V340466585,V340466409",28.4,capture
"V340466010,V340466777,V340466669,V340466363",31.3,capture
"V340466778,V340466432,V340466656,V340465942",31.4,capture
"V340466731,V340466049,V340466620,V340466344",32.8,capture
"V340466163,V340465973,V340466890,V340466033",34.7,capture
"V340466793,V340466399,V340466491,V340466251",35.9,capture
"V340466058,V340466418,V340466130,V340466193",36.3,capture
"V340466504,V340466454,V340466545,V340466323",36.3,capture
"V340466025,V340465999,V340466568,V340466093",36.7,capture
"V340465956,V340466784,V340466744,V340466441",37.1,capture
"V340466030,V340466253,V340466120,V340466097",37.1,capture
"V340466468,V340466492,V340466732,V340466328",38,capture
"3R7U646VRSP2,8QFGS8H7JK3B,7HXD2M5QV9E5,37JL7XQ7WC24",24,Shotgun
"264N498C5VZ9,3C358K9GDG6B,5UKDVSD665GD,63JKN4XJNXUF",24.5,Shotgun
"6KSPFUAK2P7A,9K3HXNXEV2RA,8TPM3F7EQF58,53MFVVZTGYD9",24.9,capture
"3BBZTLA26P53,4WP343CBPFB9,7PXKBMJTJQ5A,9XVJL27DUNMF",25.8,capture
"493PRCBSSFG7,6BB4CM9NWYD2,9GF4C43LFX5C,2EG33H5H6PZB",26.9,capture
"2QBA5E6LQMY9,3J5GPTKJKSD1,3YQKQEK3GH87,8PSQJQ5AFSH2",27.1,capture
"6ASH9CDWUK20,2H87DL6WW6KC,3T4B6TYJX2N5,7FSSC4U5N5FB",27.3,capture
"9YAQKWDSJME2,6GBYHCYYAWN8,4B5FGFNNZ4AA,39M9DFPX2K72",30,capture
"6DZB937F4X9B,5X3LYYKYW3MC,7J96FK2TRSU7,5ZHZ88A86DNA",30.7,capture
"4A4RJLK4Y5M8,5UY89CLCQE41,6DR83PLHUJE1,54TZQVV6AB72",30.9,capture
"644SDP2MUJZ5,4KVYLKEW5BM5,8V9372QD7CW4,4K22PPAS8PN6",31.7,capture
"7VGLNZ956EBB,9QHAVFWRTGJ7,7CAUVPCL7RC4,42VWJDATC498",31.8,capture
"8GJ78D4XAMHC,29VKLKBH6ACC,5328AJ347PY5,5TZNEL2NDSA0",32.4,capture
"5T28YG9FFXG0,76XRXVWNCC76,5AXPB9GWPJ43,9R6FKS6VFC3C",32.5,capture
"5S34AM5U3LD5,65FG258PULP1,3DQJ86SGK56E,4B2UX8AT2DB3",32.6,capture
"83AUXYMXLLJ8,2KC6V5EWJXSB,5XKKE7Z4BUFD,6DH4V9HLQ5G7",33.9,capture
"34B4DJ8TN3V3,7SZV9Z9J6FN4,49E9ZWBJAT30,3NLGSL4L6GR9",34.9,capture
"8E4PA44FJY66,4CRN366SEV81,2U3D2K3BNFFC,6FZMM3RVLQCA",36.1,capture
"7EUGRC5VC89B,38VWFX776KR6,6N68NLZFKRTC,6XD7V8M9CSG4",36.3,capture
"8FVARU9PPGDC,42RGHV2X6H2F,2MHUVEYZ2PJE,2CYS4SMLDZAD",37,capture
"9W2LSZHSTCGA,54G7X4NVYUAD,3R8D9ZPMXXRC,4C3LX2RJSJT4",17.1,Shotgun
"5QYMR3ZLLWWD,4GLRAAU5FQ9F,4CSSE9BAZ4J5,5C8CES836JY7",17.5,Shotgun
"8VCRQHEEN4LE,8HMBCP8MCVQA,48MKTYSPWJBB,4ZWX9UBGX53D",17.8,Shotgun
"5VMFAHU4DQBD,39PY5RLCD369,4WSCUDALSS2B,8JUF96ZVVC3A",18.2,Shotgun
"48LWN2GPKN49,5VQNKKJ8WSBE,9PR3EANGH64F,3WMMW24HVZ58",18.2,Shotgun
"9Y8LMK7HH9BE,6SQ65ASVHPW9,9JPVGVG4DZ47,67T7TMY8QBN9",18.7,Shotgun
"8FM4CNFKCPLF,3ZHB5CQ3Y56B,8UGCVRM8NBL3,85HMHUJFBRD5",18.9,Shotgun
"4GWL6SQZ8RX3,7A6L5D5VZQB8,4EJ9JXZQA7ED,36CFUAV4WJS2",19.9,Shotgun
"4AP633XAEEX0,6B32NYLGGZZ7,86JTTUJRW362,2AGAHX8FNJGF",20.4,Shotgun
"7NRLH9YV9B33,6BFHD5Z3WJP8,5KJY5XKNPHNB,9DCSFKJS6T32",21.2,Shotgun
"3CQN62WUS4L7,56WK32AQGQ3F,323ZHVSMZ3U8,8BAK2LLD4DM4",22.3,Shotgun
"6SJ7YAEPRBSF,7RV6LCJZGYH4,6EG5ZK5T5NZ6,2LAVXH58M8Q2",22.8,Shotgun
"58ZHSNARBYD1,54BQJN6Z4UA3,4WRSJCRLVRHD,36YZRF5JWBDF",22.8,Shotgun
"9KQJMU4HP7R6,8YWQT2M7V99F,9X3F78BFG9W5,7EH2HDYU4778",23.3,Shotgun
"9VDLUWG2TDY5,29Q3JZ7VXTXC,2TW2VH7KADX7,5AD7FZCDG9CE",23.5,Shotgun
"6GE8CA7LG5A1,5XPJWDQPURQ6,32868CQKJ4D2,3443VB3XKDGD",23.8,Shotgun
"45BJM9335AUC,2EKWXHH7KFM1,3FF29UJ79KKB,225Z5SPJYLAC",24.2,Shotgun
"92432TL76C58,99U3PA5Q6445,3UA2BETEKUH9,9P3WXSY63MVE",24.3,Shotgun
"5NWTYKVYK481,9G6JA3PX92W0,5G8NKH9TBGS9,5M7QQFC5FFL2",24.5,Shotgun
"6KBK8LKX6GAA,7QUVR7YJHJP9,7THCDC3EHHW4,2KE4YJQFH4Z9",24.8,Capture
"2NXMSVTSZJ97,8T699D3AS5V5,46Y2AAF22MME,6AWJBRWQ97L6",25.3,Capture
"9TYTPCKZ8YA1,3HTBP8FWCS75,3SJY2LDBC5C4,569GDCEFNPD9",25.3,Capture
"2NY3C8W8BFUA,9GDQ8XBKPP22,8GB6GU2XCFF7,V340513418",25.5,Capture
"4V976U2TFEC0,6VPXSZ8QW8B3,47NTUSMWVGXD,66B8DEWLSZS1",25.7,Capture
"94GAL9X8RZ51,9RSZ9KEYJVE2,9643M6DBVSV7,7RRGGG96QMZA",25.9,Capture
"3RCV96D92HRB,97GFNC6TZFR7,44TARCXQ7PAD,5HUA5JV69338",26.2,Capture
"6GU92SV577BF,5N4KMU76XN79,2CQMT9H6LJA4,5Q5CTYWQ4NP2",26.3,Capture
"6GT76JBF68FF,7CRRLHHS4H4A,6MNHWTKQB6T2,9MZ9SGWP7H4D",26.3,Capture
"66J2WEMXZBH4,7H4LAVYNDY39,8ZH6WVHYBVF7,9B4MUNKYF8PE",26.4,Capture
"2W3GJX38H5JE,9SHM9TNAMKF0,3MNM7J5D6GHB,79TPZMFD6T68",26.6,Capture
"9T5HXFSQS4H1,76XJ49S77Z88,33J6T96ULHWA,4KWVNUVBMWUF",27.3,Capture
"73U7H53JPR8B,6D6ASS2AXWJB,6FWHAL5DNS47,2KTX9C2WNA3C",27.9,Capture
"6YZ9U88SYVP0,8997777UZS69,9RZ4KCNRPBY3,6L8D3X7AP6HC",28.3,Capture
"7BGT98499D48,6K3L3M7UQZ60,36SJVV5LBUPA,9MVRX9AN58E8",28.5,Capture
"48D5DB9HBDP1,8XL7C5RZUMU8,45NVF7FNRDX1,6GQ3U3MR62X4",28.5,Capture
"2YE4EJXNNWHA,92LYYCN9KCPF,9JZKW9CXPXW0,6KE7NMZPAMFE",28.5,Capture
"8EYT3275364A,7CGQ3FJ852TF,3BV6A6YDQGU2,4Q2MGB4V5LU1",28.9,Capture
